audio_id	BirdJPBookDB__data_birdname	id
data01/mujisekka_160317_watarase_hirano.0004.wav	ムジセッカ	Q368505
data01/kumagera_110326_tomakomai_namba.0002.wav	クマゲラ	Q143284
data01/akagera_110327_moiwa_namba.0000.wav	アカゲラ	Q26209
data01/kikuitadaki_0803_hyogo_kaji.0000.wav	キクイタダキ	Q26657
data01/uguisu_101125_watarase_hirano.0000.wav	ウグイス	Q27075456
data01/butogara_111021_asahikawa_mju.0005.wav	ハシブトガラ	Q207838
data01/sendaimushikui_0905_hyogo_kaji.0008.wav	センダイムシクイ	Q2869566
data01/sijuukara8_0903_hyogo_kaji.0005.wav	シジュウカラ	Q177798
data01/yabusame_0804_hyogo_kaji.0003.wav	ヤブサメ	Q2669165
data01/kumataka_130506_nikko_abe.0001.wav	クマタカ	Q1262185
data01/tahibari_0802_hyogo_kaji.0010.wav	タヒバリ	Q208707
data01/jobitakic_160808_hyogo_kuroda.0006.wav	ジョウビタキ	Q616456
data01/jobitakic_160808_hyogo_kuroda.0012.wav	ジョウビタキ	Q616456
data01/kochidori_150412_toyooka_kuroda.0000.wav	コチドリ	Q18851
data01/kiji_1008_aichi_kuroda.0007.wav	キジ	Q425900
data01/suzume_100525_utsunomiya.0017.wav	スズメ	Q25968
data01/ootaka_060706_mooka_mju.0000.wav	オオタカ	Q25353
data01/kanmurikaitsu_120417ogawara_mikami.0001.wav	カンムリカイツブリ	Q25422
data01/kawarahiwa_130623_date_kros.0004.wav	カワラヒワ	Q27075786
data01/mugimaki_120505_hyogo_kaji.0005.wav	ムギマキ	Q1589248
data01/tsumenagasekirei_050621_hokkaidou_kaji.0011.wav	ツメナガセキレイ	Q25984
data01/rkonohazuku_120423_ishigaki_moriya.0000.wav	リュウキュウコノハズク	Q716317
data01/rkonohazuku_120423_ishigaki_moriya.0006.wav	リュウキュウコノハズク	Q716317
data01/nyuunaisuzume_110809_nikko_hirano.0004.wav	ニュウナイスズメ	Q1316962
data01/nyuunaisuzume_110809_nikko_hirano.0004.wav	ニュウナイスズメ	Q28868046
data01/nyuunaisuzume_110809_nikko_hirano.0009.wav	ニュウナイスズメ	Q1316962
data01/nyuunaisuzume_110809_nikko_hirano.0009.wav	ニュウナイスズメ	Q28868046
data01/ruribitaki_0902_hyogo_kaji.0014.wav	ルリビタキ	Q129219
data01/kuroji_c_080430_utsunomiya_hirano.0000.wav	クロジ	Q1586258
data01/binzui_080703_asyoro_kuroda.0004.wav	ビンズイ	Q726873
data01/mejiroc_160516_miyake_kuroda.0002.wav	ジョウビタキ	Q616456
data01/mejiroc_160516_miyake_kuroda.0003.wav	ジョウビタキ	Q616456
data01/kisekirei_160601_chichibu_mju.0000.wav	キセキレイ	Q201316
data01/ezobitaki2_1010_hyogo_kaji.0005.wav	エゾビタキ	Q1315879
data01/kogamo_0910_hyogo_kaji.0000.wav	コガモ	Q25700
data01/isoshigi_110424_utsunomiya_hirano.0013.wav	イソシギ	Q18850
data01/benimashiko081118_watarase_hirano.0002.wav	ベニマシコ	Q27075750
data01/benimashiko081118_watarase_hirano.0003.wav	ベニマシコ	Q27075750
data01/akahara_100420_watarase.0005.wav	アカハラ	Q1589003
data01/komukudori_100610_nikkou.0003.wav	コムクドリ	Q1586190
data01/yoshigoi_090805_watarase_hirano.0003.wav	ヨシゴイ	Q888536
data01/kosame_130514_nasushio_hirano.0001.wav	コサメビタキ	Q27075642
data01/kosame_130514_nasushio_hirano.0001.wav	コサメビタキ	Q790623
data01/hakusekirei_100316_utsunomiya.0006.wav	ハクセキレイ	Q2897097
data01/hakusekirei_100316_utsunomiya.0006.wav	ハクセキレイ	Q25399
data01/jobitaki_071107_watarase_hirano.0007.wav	ジョウビタキ	Q616456
data01/misago_1008_aichi_kuroda.0009.wav	ミサゴ	Q25332
data01/kakesu_080413_utsunomiya_hirano.0001.wav	カケス	Q25354
data01/koshiakastubame_0809_hyogo_kaji.0000.wav	コシアカツバメ	Q27075446
data01/ojirowashi_130215_nemuro_mju.0003.wav	オジロワシ	Q25438
data01/kawarahiwa_110122_ikeshima_mju.0004.wav	カワラヒワ	Q27075786
data01/nosuri_130402_aomori_kuroda.0002.wav	ノスリ	Q1152577
data01/uzura_090427_watarase_hirano.0000.wav	ウズラ	Q716869
data01/gojukarahina_140514_kyoto_kaji.0002.wav	ゴジュウカラ	Q156767
data01/ikaru_0805_hyogo_kaji.0002.wav	イカル	Q1052029
data01/shijuukara_110429_utsunomiya_hirano.0004.wav	シジュウカラ	Q177798
data01/sijuukara2_0710_hyogo_kaji.0003.wav	シジュウカラ	Q177798
data01/kakesu_110429_utsunomiya_hirano.0005.wav	カケス	Q25354
data01/akagera2_070516_mitake_mju.0001.wav	アカゲラ	Q26209
data01/sendaimushikui_0905_hyogo_kaji.0000.wav	センダイムシクイ	Q2869566
data01/umiaisa_130104_tatsuno_kuroda.0000.wav	ウミアイサ	Q189609
data01/tsumi_090420_kokubunji_mju.0006.wav	ツミ	Q606755
data01/binzui_080702_asyoro_kuroda.0004.wav	ビンズイ	Q726873
data01/kogara_070523_nikko_mju.0000.wav	コガラ	Q215211
data01/keri_120508b_himeji_kuroda.0002.wav	ケリ	Q1047787
data01/keri_120508_himeji_kuroda.0006.wav	ケリ	Q1047787
data01/jobitakic_160808_hyogo_kuroda.0013.wav	ジョウビタキ	Q616456
data01/tageri_121116_hyogo_kuroda.0000.wav	タゲリ	Q25392
data01/jyoubitaki_121112_utsunomiya_hirano.0000.wav	ジョウビタキ	Q616456
data01/ooruri_0907_hyogo_kaji.0001.wav	オオルリ	Q73477
data01/kanmurikaitsu_120417ogawara_mikami.0004.wav	カンムリカイツブリ	Q25422
data01/ooban_111227_watarase_hirano.0005.wav	オオバン	Q25376
data01/nogoma_050624_hokkaidou_kaji.0004.wav	ノゴマ	Q27075678
data01/oomushikui_110610_sapporo_namba.0003.wav	オオムシクイ	Q12265905
data01/oomushikui_110610_sapporo_namba.0014.wav	オオムシクイ	Q12265905
data01/nobitaki2_070620_nagano_kaji.0000.wav	ノビタキ	Q6739527
data01/nobitaki2_070620_nagano_kaji.0000.wav	ノビタキ	Q1315689
data01/toki_150202_sado_mju.0001.wav	トキ	Q493173
data01/kosamebitaki_100606_nasusiobara.0000.wav	コサメビタキ	Q27075642
data01/kosamebitaki_100606_nasusiobara.0000.wav	コサメビタキ	Q790623
data01/kibitaki_150610_sado_mju.0010.wav	キビタキ	Q1367236
data01/kayakuguri_0811_hyogo_kaji.0015.wav	カヤクグリ	Q524343
data01/hagimashiko_160315_kochi_kuroda2.0000.wav	ハギマシコ	Q739209
data01/kojukei2_060512_hino_mju.0003.wav	コジュケイ	Q1074291
data01/kurotsugumi_060604_okutadami_mju.0000.wav	クロツグミ	Q2720710
data01/uso_100606_nigorigo_mju.0006.wav	ウソ	Q25382
data01/kuina_060801_watarase_hirano.0003.wav	クイナ	Q185099
data01/kuina_060801_watarase_hirano.0003.wav	クイナ	Q3454180
data01/kohakucho_151129_kaga_mju.0006.wav	コハクチョウ	Q26603
data01/suzume_120210_nemuro_mju.0001.wav	スズメ	Q25968
data01/koshiakatsubame_1006_hyogo_kaji.0014.wav	コシアカツバメ	Q27075446
data01/isohiyo_110419_hahajima_mju.0003.wav	イソヒヨドリ	Q152144
data01/rsanshoukui_060315_okinawa_kaji.0017.wav	リュウキュウサンショウクイ	Q3233109
data01/rsanshoukui_060315_okinawa_kaji.0017.wav	リュウキュウサンショウクイ	Q1590357
data01/shimaenaga_110228_tomamae_mju.0008.wav	シマエナガ	Q170831
data01/hashibuto_060429_kokubunji_mju.0000.wav	ハシブトガラス	Q111674
data01/kuina_071127_watarase_hirano.0005.wav	クイナ	Q185099
