	audio_id	audio_file_path	romaji_name	romaji_to_kana	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
0	278.0	data01/rtsubame_120419_yona_moriya.0005.wav	rtsubame	Rツバメ							
1	959.0	data01/rtsubame_120419_yona_moriya.0000.wav	rtsubame	Rツバメ							
2	2235.0	data01/rtsubame_120419_yona_moriya.0004.wav	rtsubame	Rツバメ							
3	2323.0	data01/rtsubame_120419_yona_moriya.0007.wav	rtsubame	Rツバメ							
4	4166.0	data01/rtsubame_120419_yona_moriya.0001.wav	rtsubame	Rツバメ							
5	4233.0	data01/rtsubame_120419_yona_moriya.0003.wav	rtsubame	Rツバメ							
6	4744.0	data01/rtsubame_120419_yona_moriya.0006.wav	rtsubame	Rツバメ							
7	4880.0	data01/rtsubame_120419_yona_moriya.0002.wav	rtsubame	Rツバメ							
8	1066.0	data01/amurumusikui_160502_hyogo_kaji.0002.wav	amurumusikui	アムールムシクイ							
9	1541.0	data01/amurumusikui_160502_hyogo_kaji.0001.wav	amurumusikui	アムールムシクイ							
10	1764.0	data01/amurumusikui_160502_hyogo_kaji.0000.wav	amurumusikui	アムールムシクイ							
11	33.0	data01/osahashibuto_120423_ishigaki_moriya.0009.wav	osahashibuto	オサハシブト							
12	530.0	data01/osahashibuto_120423_ishigaki_moriya.0008.wav	osahashibuto	オサハシブト							
13	1070.0	data01/osahashibuto_120423_ishigaki_moriya.0005.wav	osahashibuto	オサハシブト							
14	1683.0	data01/osahashibuto_120423_ishigaki_moriya.0006.wav	osahashibuto	オサハシブト							
15	1684.0	data01/osahashibuto_120423_ishigaki_moriya.0010.wav	osahashibuto	オサハシブト							
16	1946.0	data01/osahashibuto_120423_ishigaki_moriya.0011.wav	osahashibuto	オサハシブト							
17	2144.0	data01/osahashibuto_120423_ishigaki_moriya.0004.wav	osahashibuto	オサハシブト							
18	3195.0	data01/osahashibuto_120423_ishigaki_moriya.0007.wav	osahashibuto	オサハシブト							
19	4163.0	data01/osahashibuto_120423_ishigaki_moriya.0002.wav	osahashibuto	オサハシブト							
20	4270.0	data01/osahashibuto_120423_ishigaki_moriya.0001.wav	osahashibuto	オサハシブト							
21	4485.0	data01/osahashibuto_120423_ishigaki_moriya.0003.wav	osahashibuto	オサハシブト							
22	4893.0	data01/osahashibuto_120423_ishigaki_moriya.0000.wav	osahashibuto	オサハシブト							
23	6.0	data01/ochu2_150524_tsushima_mju.0005.wav	ochu	オチュ							
24	238.0	data01/ochu_150524_tsushima_mju.0014.wav	ochu	オチュ							
25	342.0	data01/ochu2_150524_tsushima_mju.0014.wav	ochu	オチュ							
26	410.0	data01/ochu2_150524_tsushima_mju.0010.wav	ochu	オチュ							
27	546.0	data01/ochu2_150524_tsushima_mju.0001.wav	ochu	オチュ							
28	594.0	data01/ochu2_150524_tsushima_mju.0008.wav	ochu	オチュ							
29	681.0	data01/ochu2_150524_tsushima_mju.0000.wav	ochu	オチュ							
30	727.0	data01/ochu_150524_tsushima_mju.0003.wav	ochu	オチュ							
31	728.0	data01/ochu_150524_tsushima_mju.0005.wav	ochu	オチュ							
32	1236.0	data01/ochu_150524_tsushima_mju.0008.wav	ochu	オチュ							
33	1281.0	data01/ochu2_150524_tsushima_mju.0007.wav	ochu	オチュ							
34	1889.0	data01/ochu_150524_tsushima_mju.0007.wav	ochu	オチュ							
35	2055.0	data01/ochu2_150524_tsushima_mju.0004.wav	ochu	オチュ							
36	2140.0	data01/ochu_150524_tsushima_mju.0000.wav	ochu	オチュ							
37	2301.0	data01/ochu_150524_tsushima_mju.0004.wav	ochu	オチュ							
38	2519.0	data01/ochu_150524_tsushima_mju.0009.wav	ochu	オチュ							
39	2655.0	data01/ochu2_150524_tsushima_mju.0013.wav	ochu	オチュ							
40	2877.0	data01/ochu2_150524_tsushima_mju.0006.wav	ochu	オチュ							
41	2899.0	data01/ochu_150524_tsushima_mju.0011.wav	ochu	オチュ							
42	2982.0	data01/ochu_150524_tsushima_mju.0002.wav	ochu	オチュ							
43	2983.0	data01/ochu_150524_tsushima_mju.0010.wav	ochu	オチュ							
44	3186.0	data01/ochu_150524_tsushima_mju.0012.wav	ochu	オチュ							
45	3663.0	data01/ochu2_150524_tsushima_mju.0012.wav	ochu	オチュ							
46	4090.0	data01/ochu2_150524_tsushima_mju.0011.wav	ochu	オチュ							
47	4265.0	data01/ochu2_150524_tsushima_mju.0002.wav	ochu	オチュ							
48	4354.0	data01/ochu2_150524_tsushima_mju.0009.wav	ochu	オチュ							
49	4529.0	data01/ochu_150524_tsushima_mju.0015.wav	ochu	オチュ							
50	4597.0	data01/ochu_150524_tsushima_mju.0013.wav	ochu	オチュ							
51	4622.0	data01/ochu_150524_tsushima_mju.0006.wav	ochu	オチュ							
52	4705.0	data01/ochu_150524_tsushima_mju.0001.wav	ochu	オチュ							
53	4709.0	data01/ochu2_150524_tsushima_mju.0003.wav	ochu	オチュ							
54	4878.0	data01/ochu2_150524_tsushima_mju.0015.wav	ochu	オチュ							
55	356.0	data01/kimayu_151014_fukuoka_kuroda.0004.wav	kimayu	キマユ							
56	2481.0	data01/kimayu_151014_fukuoka_kuroda.0002.wav	kimayu	キマユ							
57	2874.0	data01/kimayu_151014_fukuoka_kuroda.0000.wav	kimayu	キマユ							
58	3753.0	data01/kimayu_151014_fukuoka_kuroda.0003.wav	kimayu	キマユ							
59	4550.0	data01/kimayu_151014_fukuoka_kuroda.0001.wav	kimayu	キマユ							
60	1195.0	data01/komori_091212_ehime_kuroda.0003.wav	komori	コモリ							
61	2483.0	data01/komori_091212_ehime_kuroda.0001.wav	komori	コモリ							
62	3228.0	data01/komori_091212_ehime_kuroda.0000.wav	komori	コモリ							
63	4883.0	data01/komori_091212_ehime_kuroda.0002.wav	komori	コモリ							
64	3697.0	data01/korigamo_110205_wakkanai_mju.0000.wav	korigamo	コリガモ							
65	753.0	data01/amagaeru_060607_hino_mju.0000.wav	amagaeru	動物							
66	195.0	data01/ezorisu_110402_maruyama_namba.0004.wav	ezorisu	動物							
67	999.0	data01/ezorisu_110402_maruyama_namba.0001.wav	ezorisu	動物							
68	1613.0	data01/ezorisu_110402_maruyama_namba.0002.wav	ezorisu	動物							
69	2754.0	data01/ezorisu_110402_maruyama_namba.0000.wav	ezorisu	動物							
70	2999.0	data01/ezorisu_110402_maruyama_namba.0005.wav	ezorisu	動物							
71	4237.0	data01/ezorisu_110402_maruyama_namba.0003.wav	ezorisu	動物							
73	406.0	data01/hikigaeru_110313_kokubunji_mju.0004.wav	hikigaeru	動物							
74	1284.0	data01/hikigaeru_110313_kokubunji_mju.0003.wav	hikigaeru	動物							
75	1364.0	data01/hikigaeru_110313_kokubunji_mju.0000.wav	hikigaeru	動物							
76	2547.0	data01/hikigaeru_110313_kokubunji_mju.0002.wav	hikigaeru	動物							
77	3162.0	data01/hikigaeru_110313_kokubunji_mju.0001.wav	hikigaeru	動物							
78	3478.0	data01/hikigaeru_110313_kokubunji_mju.0005.wav	hikigaeru	動物							
79	757.0	data01/hinakomori_140527_wakayama_kuroda.0001.wav	hinakomori	動物							
80	1509.0	data01/hinakomori_140527_wakayama_kuroda.0002.wav	hinakomori	動物							
81	2951.0	data01/hinakomori_140527_wakayama_kuroda.0006.wav	hinakomori	動物							
82	2955.0	data01/hinakomori_140527_wakayama_kuroda.0004.wav	hinakomori	動物							
83	3100.0	data01/hinakomori_140527_wakayama_kuroda.0005.wav	hinakomori	動物							
84	3397.0	data01/hinakomori_140527_wakayama_kuroda.0003.wav	hinakomori	動物							
85	4335.0	data01/hinakomori_140527_wakayama_kuroda.0000.wav	hinakomori	動物							
86	2532.0	data01/kamoshika_140510_nikko_abe.0000.wav	kamoshika	動物							
87	1597.0	data01/kitakitsune_051017_muroran_mju.0002.wav	kitakitsune	動物							
88	2295.0	data01/kitakitsune_051017_muroran_mju.0000.wav	kitakitsune	動物							
89	2873.0	data01/kitakitsune_051017_muroran_mju.0001.wav	kitakitsune	動物							
90	3257.0	data01/kitakitsune_051017_muroran_mju.0003.wav	kitakitsune	動物							
91	4438.0	data01/kitakitsune_051017_muroran_mju.0004.wav	kitakitsune	動物							
92	302.0	data01/moriaogaeru_100618_sado_mju.0007.wav	moriaogaeru	動物							
93	734.0	data01/moriaogaeru_100618_sado_mju.0009.wav	moriaogaeru	動物							
94	985.0	data01/moriaogaeru_100618_sado_mju.0006.wav	moriaogaeru	動物							
95	1323.0	data01/moriaogaeru_100618_sado_mju.0001.wav	moriaogaeru	動物							
96	1398.0	data01/moriaogaeru_100618_sado_mju.0010.wav	moriaogaeru	動物							
97	1479.0	data01/moriaogaeru_100618_sado_mju.0002.wav	moriaogaeru	動物							
98	2003.0	data01/moriaogaeru_100618_sado_mju.0008.wav	moriaogaeru	動物							
99	2438.0	data01/moriaogaeru_100618_sado_mju.0004.wav	moriaogaeru	動物							
100	2816.0	data01/moriaogaeru_100618_sado_mju.0012.wav	moriaogaeru	動物							
101	3420.0	data01/moriaogaeru_100618_sado_mju.0013.wav	moriaogaeru	動物							
102	3628.0	data01/moriaogaeru_100618_sado_mju.0000.wav	moriaogaeru	動物							
103	3936.0	data01/moriaogaeru_100618_sado_mju.0011.wav	moriaogaeru	動物							
104	4117.0	data01/moriaogaeru_100618_sado_mju.0014.wav	moriaogaeru	動物							
105	4403.0	data01/moriaogaeru_100618_sado_mju.0005.wav	moriaogaeru	動物							
106	4619.0	data01/moriaogaeru_100618_sado_mju.0003.wav	moriaogaeru	動物							
107	486.0	data01/nezumi_080409_tottori_kuroda.0006.wav	nezumi	動物							
108	596.0	data01/nezumi_080409_tottori_kuroda.0001.wav	nezumi	動物							
109	2964.0	data01/nezumi_080409_tottori_kuroda.0003.wav	nezumi	動物							
110	3700.0	data01/nezumi_080409_tottori_kuroda.0004.wav	nezumi	動物							
